tweet,image_url,label
每日 美 图 山居 ,62b31d36gw1ezuttozq82j20dw0kutax 62b31d36gw1ezuttsqit7j20cn0iyq4k 62b31d36gw1ezuttxjhikj20iw0sc40l 62b31d36gw1ezuttjjyooj20bv0hsdgi 62b31d36gw1ezutu2f15yj20kg0umjtz 62b31d36gw1ezutu4h9tmj20dw0kldhv 62b31d36gw1ezutu99oevj20bu0hsgn0 62b31d36gw1ezutudfrf4j20kg0uo76w 62b31d36gw1ezutuhghhnj20d30kujt5 ,0
新闻 不能 宣布 死亡 医生 ,a9570da6jw1exfh02r0d5j20p014n79n a9570da6jw1exfh0421v5j20p015an4r a9570da6jw1exfh04wxswj20p015479h a9570da6jw1exfh05x0h5j20p013w448 a9570da6jw1exfh06rduwj20p0145jvz a9570da6jw1exfh01ujevj20p0144jw1 a9570da6jw1exfh07ps4nj20p013ygqx a9570da6jw1exfh08g29xj20p014k0x5 a9570da6jw1exfh09avmaj20p015aq7t ,0
柯迪 指挥官 报告 登上 长城 ,62b31d36gw1ex8trzpizij20tr0h7whb 62b31d36gw1ex8trxa6zdj20t30hjmz9 62b31d36gw1ex8ts40449j20si0iygns 62b31d36gw1ex8tsickrwj20tf0ivdhc 62b31d36gw1ex8ts9cv04j20of0eadgw 62b31d36gw1ex8tsb6xujj20t00ikq53 62b31d36gw1ex8tseverfj20tu0i4mzf 62b31d36gw1ex8tsgir0dj20th0i70uq 62b31d36gw1ex8ts608iuj20un0gzq4t ,0
每日 美 图 世界各地 清真寺 ,62b31d36gw1ex8e8ntaqvj20qq0gxdhu 62b31d36gw1ex8e8pheuqj20d20af0vc 62b31d36gw1ex8e8xejjrj20qq0htwi3 62b31d36gw1ex8e968zirj20qq0k2diy 62b31d36gw1ex8e9ah2tej20d20ay0u9 62b31d36gw1ex8e9igwo2j20d20af0tq 62b31d36gw1ex8e9o522oj20qq0ht0w3 62b31d36gw1ex8e9w9mz6j20qq0l9qaf 62b31d36gw1ex8eagakdrj20qq0ht791 ,0
分享 图片 ,0067135Cjw1ex43zmge6jj30k50mqwif 0067135Cjw1ex43ztgsqlj30mj0qodhp 0067135Cjw1ex4400ez9qj311v0qan16 0067135Cjw1ex4408dc7mj30xm0iw0zx 0067135Cjw1ex440g5ejaj30he0qoq7m     ,0
每日 美 图 险 惊心动魄 道路 会 走 ,62b31d36gw1ex2af01ed1j20qq0hvq6o 62b31d36gw1ex2af53860j20qq0hsq9p 62b31d36gw1ex2afahvjvj20qq0htq7k 62b31d36gw1ex2afp07m4j20qq0hrdma 62b31d36gw1ex2afv97ydj20qq0k40yv 62b31d36gw1ex2afxmmqij208k0bswfh 62b31d36gw1ex2afzb1gcj20qq0htjxc 62b31d36gw1ex2ag53hb7j20qq143aqz 62b31d36gw1ex2agbkarnj20qq0hs10p ,0
# 跨年 # 欧洲 ,62b31d36gw1ezjq3p6d7mj20qq0lddkv 62b31d36gw1ezjq3r6suwj20qq0hwaer 62b31d36gw1ezjq3t8bwdj20qq0i4wha 62b31d36gw1ezjq3v40xcj20qq0ijadn 62b31d36gw1ezjq3vlpc0j20qq0htn0z 62b31d36gw1ezjq3xouvwj20qq0hs78t 62b31d36gw1ezjq3z5yh6j20qq0ht43p 62b31d36gw1ezjq40j41ij20qq0gj79g 62b31d36gw1ezjq42pkslj20qq0dfn0q ,0
# 跨年 # 亚洲 ,62b31d36gw1ezjq1xivylj20qq0ha78v 62b31d36gw1ezjq22cnltj20qq0ht0ws 62b31d36gw1ezjq253v3hj20qq0ht0xp 62b31d36gw1ezjq299pl1j20qq0httc9 62b31d36gw1ezjq2bjstjj20qq0hodl7 62b31d36gw1ezjq2ebiocj20qq0hhaek 62b31d36gw1ezjq2on9trj20qq0jwtel 62b31d36gw1ezjq2ranm4j20qq0ht0we 62b31d36gw1ezjq2vhinhj20qq0ht0vs ,0
马格南 年度 摄影 大赏 ,62b31d36gw1ezahmn8kb2j20qq0snjv5 62b31d36gw1ezahm9sfa2j20qq0k2wi0 62b31d36gw1ezahmbeyscj20qq0htdjc 62b31d36gw1ezahmf01h9j20qq0qqq7k 62b31d36gw1ezahmhgm3uj20qq0huad5 62b31d36gw1ezahmigl1mj20qq0jyadg 62b31d36gw1ezahml31mlj20qq0qsgpw 62b31d36gw1ezahmpq3vmj20qq0htacs 62b31d36gw1ezahmrcbg9j20qq0k276e ,0
每日 美 图 2015 旅行 摄影 大赏 ,62b31d36gw1ez8ql608anj20qq0htwlm 62b31d36gw1ez8ql7k35vj20qq0hp45o 62b31d36gw1ez8ql9hjfbj20qq0ht0yo 62b31d36gw1ez8qleufwnj20qq0htgq1 62b31d36gw1ez8qlgwgvyj20qq0hudmh 62b31d36gw1ez8qliqe8ij20qq0f3jst 62b31d36gw1ez8qlp7dhrj20qq0ht77e 62b31d36gw1ez8qlsww33j20qq0htq9m 62b31d36gw1ez8qlvmy2gj20qq0hgdlm ,0
每日 美 图 宝贝 宝贝 ,62b31d36gw1eyttmx39wfj20qq0hu0uz 62b31d36gw1eyttmymu60j20qq0gydiz 62b31d36gw1eyttn04g8dj20qq0hutao 62b31d36gw1eyttn21mb5j20qq0qq78a 62b31d36gw1eyttn3rteoj20qq0qqjvv 62b31d36gw1eyttn5pbimj20qq0qq0y0 62b31d36gw1eyttn8te0wj20qq0hvgof 62b31d36gw1eyttnftrioj20qq0j341l 62b31d36gw1eyttnhk3s3j20qq0jjtbr ,0
浙江 丽水 山体 滑坡 遇难 人数 升至 33 13 日 22 时 50 分 左右 浙江省 丽水市 莲都区 雅溪 镇里 东村 发生 山体 滑坡 央视 消息 今晚 20 点 25 分 滑坡 38 人失联 搜救 出 34 确认 死亡 33 人身 命 体征 平稳 人失联 ,a716fd45jw1ey49zaf8ldj21kw11xe1k a716fd45jw1ey49zahwbyj21kw1z4hdt a716fd45jw1ey49zafxc5j21kw2dc1ky a716fd45jw1ey49za3r09j21kw2dchdu a716fd45jw1ey49za21cfj21kw11x1gu a716fd45jw1ey49za3bsyj21kw11x7wh a716fd45jw1ey49za2xi4j21kw11x1kx a716fd45jw1ey49z9yoaoj21kw11xqfl a716fd45jw1ey49za1ox7j21kw11xb29 ,0
伊斯坦布尔 主要 景点 爆炸   已致 10 死 15 伤 土耳其 最大 城市 伊斯坦布尔 一个 旅游景点 今日 发生爆炸 至少 10 死亡 15 受伤 死者 中据 报有 外国游客   爆炸 地点 位于 伊斯坦布尔 著名 旅游景点 苏丹 艾哈迈德 广场 （ Sultanahmet   Square ） 土耳其 媒体 称 可能 一起 自杀式 爆炸事件   O 网页 链接 ,9dcb59c7jw1ezwvmgmi9pj20go0aywhp 9dcb59c7jw1ezwvmo88y8j20go0cktbg 9dcb59c7jw1ezwvmsec2uj20go0b3diq       ,0
英媒 王健林 逾 亿买 伦敦 豪宅   曾称 北京 便宜 伦敦 旗帜 晚报 （ Evening   Standard ） 引述 地产 市场 消息人士 称 王健林 英国 皇冠 房地产 公司 买下 位于 伦敦 富人 街 豪宅 地址 肯辛顿 宫 花园 15AO 网页 链接 ,9dcb59c7gw1ez76zdgc0ej20m80ewgr4 9dcb59c7gw1ez76zdhw45j20m80f7gqj 9dcb59c7gw1ez76zdwzb0j20m80et0yi 9dcb59c7gw1ez76ze1iznj20m80et443 9dcb59c7gw1ez76zdzz85j20m80etjv7 9dcb59c7gw1ez76zegkafj20m80eyn2b    ,0
@ 环球 资讯 广播   石景山区 多名 网友 反映 今晚 18 : 20 分 左右 北京市 石景山区 永乐 西 小区 35 号楼 发生爆炸 周围 震感 明显 （ 永乐 东 石景山 政府 有感 ） 目击者 称 看到 附近 车子 正在 燃烧 警车 三五分钟 救护车 很快 到达 现场 爆炸 原因 尚 调查 中 初步 怀疑 燃气 爆炸 ,9dcb59c7jw1eyrcel5l0hj20c80gbjsd 9dcb59c7jw1eyrcen24jzj20c80gbmxr 9dcb59c7jw1eyrceq4tg5j20c8096q3i 9dcb59c7jw1eyrcesg8muj20c8096mxn      ,0
加州 南爆 大规模 枪击   14 死 17 伤   疑犯 击中 美国 加州 南部 圣贝 纳迪 诺 （ San   Bernardino ） 发生 严重 枪击案 目前 造成 14 死亡 17 受伤 枪手 作案 之后 逃离现场 警方 展开 大规模 搜捕 目前 警方 相信 名 凶徒 参与 作案 已经 确认 名 嫌疑人 警方 开枪 击中 O 网页 链接 ,9dcb59c7jw1eym8jr47g0j20m80etjy3 9dcb59c7jw1eym8jv7nv9j20m80godjq 9dcb59c7jw1eym8jwwvv7j20m80g6q6z       ,0
网 曝 昆明 卫校 老师 女 学生 发 龌龊 信息   校方 老师 被盗 号 11 日 网友 爆料 称 昆明 卫校 班主任 胡某 学生 聊天记录 流出 内容 不堪入目 黄 暴力 胡某 威胁 学生 信不信 老子 挂科 11 日 下午 学校 副校长 回应 称 老师 遭 盗号 目前 报案 O 网 曝 昆明 卫校 老师 女 学生 发 龌龊 信息   校方 老师 被盗 号 ,4ee36f05gw1ezwls1kpc7j20910eqmxb 4ee36f05gw1ezwls38mtyj20920eq74i 4ee36f05gw1ezwls12vlqj20930eq0t3       ,0
的哥 发现 乘客 遗落 行李   10 余万 黄金 人民币 无人认领 郑州 的哥 陈 师傅 下班 发现 后备 厢 遗留 行李箱 记不清 便 按规 上交 公司 打开 箱子 发现 里面 数万元 现金 黄金 制品 价值 十多万 媒体 寻找 失主 奇怪的是 整整 一天 未见 回应 O 行李箱 黄金 落 出租车 ,61e04755jw1eybs1zjp6rj20c809s74q 61e04755jw1eybs205ce1j20c809smxm 61e04755jw1eybs20yblgj20c809saaf 61e04755jw1eybs21nbzwj20c809sdgc 61e04755jw1eybs1z63maj20c809sdfz     ,0
# 紫禁城 瑞雪 #   片片 互 玲珑 飞扬 玉漏 终 ,62aad664gw1ey9ny7tlm3j20u01hcaio 62aad664gw1ey9ny9e1t9j20u01hck5x 62aad664gw1ey9nyawruej20u01hctfw 62aad664gw1ey9nycg9olj20u01hc158 62aad664gw1ey9nye2s5cj20u01hcng1 62aad664gw1ey9nyfo77sj20u01hc4a5 62aad664gw1ey9nyofg7pj20u01hcan6 62aad664gw1ey9nypfo3uj20u01hc46d 62aad664gw1ey9nz0i81sj20u01hc1bp ,0
# 天下 # 朝鲜 发生 4.9 级 地震   震源 深度 公里 中国 地震 台网 测定 月 日 时 30 分在 朝鲜 ( 疑爆 ) ( 北纬 41.30 度 东经 129.10 度 ) 发生 4.9 级 地震 震源 深度 公里 另据 美国 地质勘探 局 网站 消息 北京 时间 月 日 时 30 分 朝鲜 发生 5.1 级 地震 震源 深度 10 公里 O 朝鲜 发生 4.9 级 地震 ,60718250jw1ezpjke7ug2j20c8096js0 60718250jw1ezpjkc82a8j20go0go0va        ,0
# 浙江 丽水 山体 滑坡 # 已致 死亡   28 人失联 昨晚 浙江 丽水 莲都区 雅溪 镇里 东村 发生 山体 滑坡 塌方 量 30 余万立方米   27 户 房屋 埋 房屋 进水 21 户 目前 已有 10 名 村民 救出 死亡 正在 医院 接受 治疗 28 名 村民 民工 失踪 共 转移 群众 300 多人 目前 抢险救灾 进行 （ 央视 记者 李欣蔓 ） ,9e5389bbjw1ey0r37ufuyj20go0ciq4m 9e5389bbjw1ey0r38g8qgj20go0ci760 9e5389bbjw1ey0r39316dj20go0cidhp 9e5389bbjw1ey0r39pqipj20go0citaj 9e5389bbjw1ey0r3ac4xxj20go0cigml 9e5389bbjw1ey0r3azvj2j20sg0lcgo6 9e5389bbjw1ey0r3bo1e8j20sg0lcwhi 9e5389bbjw1ey0r3c8542j20sg0lcdjb 9e5389bbjw1ey0r3curkxj20sg0lcgnn ,0
# 图看 天下 #   巴黎 枪击案 现场 劫后余生   民众 街头 拥抱 O 巴黎 民众 接头 拥抱 ,4ee36f05jw1ey0anrmst9j20xc0nnjx8 4ee36f05jw1ey0ans9om2j20xc0mv78y 4ee36f05jw1ey0answzgvj20qe0hm77d 4ee36f05jw1ey0antj3zej20qe0ifq6i 4ee36f05jw1ey0anu5z4rj20qe0hdtc6     ,0
法国 全境 进入 紧急状态 法国 媒体报道 巴黎 市区 巴塔克 兰 剧院 一家 餐馆 13 日晚 发生 几起 枪击案 法兰西 体育场 附近 发生 爆炸事件 至少 60 死亡 巴塔克 兰 剧院 估计 几百名 观 人质 被劫持 法国 总统 奥 朗德 说 法国 史无前例 恐怖袭击 宣布 法国 全境 进入 紧急状态 ,4ee36f05gw1ey05mvw173j20c807c3zf 4ee36f05gw1ey05mwdpw4j20c8082t9j 4ee36f05gw1ey05mwohykj20c806vdgg 4ee36f05gw1ey05mx80kjj20c806vta1 4ee36f05gw1ey05mxrujjj20c809ogn0 4ee36f05gw1ey05n2rtp2j20c806vwfb 4ee36f05gw1ey05n36xcjj20c806v0t8 4ee36f05gw1ey05n3t222j20c806vdgc 4ee36f05gw1ey05n40d9xj20c806vt9i ,0
# 拍案 # 官方 调查 卓达 公司   恐怕 会 出事 河北 卓达 地产 公司 突然 火 一直 推销 理财产品 自称 30% 离谱 回报率 俄罗斯 签 每年 千亿 合同 几番 交锋 曝 内幕 媒体 办公楼 卓达 雇 民工 占领 … 公司 自称 40 万人 投资 媒体 吁 官方 调查 出 问题 后果 不堪设想 O 媒体 : 国家 不查 卓达要 出 大事 ,60718250jw1exy3cakbmdj20f40gwjtf 60718250jw1exy3caujtkj20f90bfmyu 60718250jw1exy3cb4u62j20e108y0ud 60718250jw1exy3cbnuhjj20dj09jjs6 60718250jw1exy3ci2738j20go0go0v6 60718250jw1exy3cbqwrjj20c10a4q3n 60718250jw1exy3cazf4yj20fa06cjs6 60718250jw1exy3cbds5oj20di0gen0v 60718250jw1exy3cbkn3kj20fa09lmxu ,0
# 天津 液化气 车 爆炸 # 快讯 天津市 津南 开发区 运输 液化气 货车 爆炸 央视 今天 14 : 10 左右 天津市 津南区 双港镇 津南 开发区 附近 运输 液化气 货车 发生爆炸 附近 居民 介绍 至少 次连续 爆炸 目前 消防 赶往 现场 救援 暂无 人员伤亡 ,a716fd45jw1ezon6c5bodj20c8096mxm a716fd45jw1ezon6c66q9j20c809674x a716fd45jw1ezon6c5zpaj20c8096t9d a716fd45jw1ezon6c6bxej20c80gb0t4 a716fd45jw1ezon6c5ed0j20c8096q3a     ,0
